,player,team,age,pts_per_poss,fgm,fga,fgpct,three_pm,three_pa,three_ppct,ftm,fta,ftpct,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,ddtwo_,tdthree_,plus_minus,fgm_less_than_5ft,fga_less_than_5ft,fgpct_less_than_5ft,fgm_5minus9_ft,fga_5minus9_ft,fgpct_5minus9_ft,fgm_10minus14_ft,fga_10minus14_ft,fgpct_10minus14_ft,fgm_15minus19_ft,fga_15minus19_ft,fgpct_15minus19_ft,fgm_two_0minustwo_4_ft,fga_two_0minustwo_4_ft,fgpct_two_0minustwo_4_ft,fgm_two_5minustwo_9_ft,fga_two_5minustwo_9_ft,fgpct_two_5minustwo_9_ft,pts,touches,front_ct_touches,time_of_poss,avg_sec_per_touch,avg_drib_per_touch,pts_per_touch,elbow_touches,post_ups,paint_touches,pts_per_elbow_touch,pts_per_post_touch,pts_per_paint_touch
166,brook lopez,MIL,35,0.239,0.092,0.175,52.6,0.027,0.072,37.1,0.029,0.037,78.3,0.031,0.073,0.104,0.02,0.021,0.007,0.038,0.04,0.509,11,0,0.07,2.8,3.9,73.2,0.7,1.2,56.0,0.5,1.1,48.1,0.2,0.5,44.4,0.5,1.2,37.6,1.2,3.4,36.2,15.6,34.2,23.4,0.8,1.43,0.43,0.457,2.5,1.8,5.7,0.554,1.045,1.146
167,peyton watson,DEN,20,0.211,0.09,0.175,51.7,0.03,0.048,62.5,0.0,0.012,0.0,0.018,0.084,0.102,0.018,0.024,0.0,0.018,0.03,0.391,0,0,-0.175,0.4,0.8,50.0,0.2,0.3,50.0,0.1,0.4,25.0,0.1,0.1,100,0.3,0.4,80.0,0.1,0.2,33.3,1.9,5.8,3.1,0.2,2.52,1.3,0.333,0.1,0.0,0.1,2.0,0.0,1.0
168,tre jones,SAS,23,0.201,0.079,0.174,45.1,0.01,0.037,27.2,0.034,0.039,86.0,0.013,0.044,0.056,0.102,0.026,0.022,0.002,0.024,0.468,4,1,-0.079,2.4,4.1,57.9,0.7,1.8,40.9,0.9,2.2,42.4,0.3,0.5,47.1,0.3,1.0,27.3,0.4,1.3,28.4,12.3,67.0,19.3,5.9,5.29,5.07,0.184,0.4,0.0,0.7,0.72,0.0,0.488
169,jabari smith jr,HOU,19,0.196,0.07,0.174,40.4,0.024,0.078,30.6,0.031,0.039,78.2,0.024,0.088,0.112,0.02,0.02,0.008,0.014,0.045,0.407,15,0,-0.118,1.6,2.5,63.1,0.5,1.2,37.6,0.4,1.0,40.0,0.5,1.3,41.2,0.7,1.7,39.2,0.9,3.6,26.4,12.6,46.3,23.6,1.5,1.94,1.01,0.272,1.2,0.9,2.5,0.692,0.6,1.005
170,chris duarte,IND,25,0.189,0.064,0.173,36.9,0.029,0.091,31.6,0.032,0.038,84.7,0.01,0.05,0.06,0.033,0.021,0.013,0.005,0.034,0.342,0,0,-0.059,0.9,1.8,49.4,0.2,0.3,66.7,0.2,0.6,31.0,0.1,0.5,18.2,0.7,1.8,36.9,0.6,2.1,27.8,7.9,29.1,18.9,1.1,2.2,1.54,0.27,0.3,0.0,0.5,0.833,0.0,0.87
171,tyus jones,MEM,26,0.201,0.076,0.173,44.0,0.03,0.079,37.8,0.019,0.024,79.8,0.007,0.041,0.048,0.099,0.018,0.019,0.001,0.008,0.451,8,1,0.03,0.6,1.2,54.9,0.6,1.2,48.4,1.0,2.1,46.8,0.1,0.4,40.7,0.8,1.6,47.6,0.8,2.5,33.2,10.4,54.4,20.1,4.5,4.96,4.42,0.192,0.1,0.0,0.2,0.286,0.0,0.2
172,evan fournier,NYK,30,0.179,0.06,0.173,34.9,0.038,0.117,32.0,0.021,0.024,85.7,0.005,0.049,0.054,0.04,0.024,0.016,0.003,0.05,0.337,0,0,-0.01,0.3,0.7,41.2,0.2,0.4,55.6,0.2,0.7,33.3,0.1,0.3,42.9,0.8,1.8,40.9,0.6,2.5,25.4,6.8,23.6,16.7,1.0,2.46,1.83,0.29,0.0,0.0,0.2,0.0,0.0,1.0
173,tobias harris,PHI,30,0.224,0.087,0.173,50.3,0.026,0.066,39.5,0.023,0.027,87.4,0.013,0.073,0.086,0.038,0.018,0.014,0.008,0.03,0.431,7,0,0.064,2.6,3.9,66.7,0.8,1.7,45.4,0.5,1.1,43.0,0.2,0.5,50.0,0.8,2.2,38.7,0.9,2.3,41.0,15.0,49.2,29.3,2.2,2.68,1.75,0.304,0.7,2.3,1.9,0.635,0.583,0.964
174,eugene omoruyi,DET,26,0.209,0.078,0.173,44.9,0.018,0.066,26.8,0.036,0.054,66.2,0.033,0.051,0.084,0.02,0.025,0.02,0.002,0.071,0.383,0,0,-0.016,1.9,3.0,62.6,0.1,0.4,15.4,0.0,0.1,33.3,0.0,0.0,0.0,0.3,1.3,27.1,0.2,0.9,23.5,6.5,19.0,12.3,0.5,1.57,0.78,0.344,0.6,0.1,2.4,0.708,1.2,1.0
175,edmond sumner,BKN,27,0.241,0.079,0.173,45.7,0.02,0.056,36.0,0.063,0.068,92.3,0.008,0.042,0.05,0.044,0.031,0.02,0.007,0.054,0.416,0,0,0.016,1.4,2.5,55.6,0.2,0.6,28.6,0.1,0.3,30.8,0.1,0.2,62.5,0.5,1.2,40.4,0.2,0.6,34.4,7.2,23.6,11.1,1.6,3.97,3.47,0.306,0.3,0.0,0.6,0.714,0.0,1.094
176,josh richardson,NOP,29,0.205,0.075,0.173,43.4,0.033,0.091,36.5,0.022,0.026,85.2,0.013,0.042,0.054,0.055,0.026,0.021,0.006,0.035,0.409,1,0,-0.038,0.6,1.0,61.3,0.3,0.7,48.8,0.6,1.3,43.0,0.5,1.0,53.3,0.6,1.4,39.5,1.2,3.3,36.1,10.5,42.7,21.4,2.4,3.31,2.58,0.246,0.3,0.0,0.8,0.25,0.0,0.729
177,marcus morris sr,LAC,33,0.195,0.074,0.173,42.6,0.03,0.082,36.5,0.018,0.023,78.2,0.008,0.061,0.069,0.031,0.015,0.011,0.006,0.037,0.36,2,0,-0.004,0.6,1.0,60.6,0.5,0.8,54.5,0.7,1.7,42.6,0.6,1.5,43.8,0.6,1.8,33.6,1.2,3.0,38.9,11.2,37.0,24.2,1.3,2.14,1.13,0.303,1.1,1.6,0.6,0.681,0.788,1.0
178,patty mills,BKN,34,0.204,0.072,0.173,41.9,0.041,0.109,37.6,0.018,0.02,91.3,0.007,0.03,0.037,0.047,0.023,0.012,0.003,0.025,0.34,0,0,-0.034,0.3,0.5,68.4,0.1,0.2,50.0,0.1,0.2,22.2,0.3,0.7,44.0,0.6,1.5,40.0,0.8,2.0,38.5,6.0,19.1,10.2,1.0,3.09,3.0,0.314,0.2,0.0,0.1,0.333,0.0,1.0
179,chris paul,PHX,37,0.208,0.075,0.173,43.2,0.023,0.066,35.8,0.036,0.043,83.1,0.007,0.059,0.066,0.14,0.03,0.024,0.006,0.034,0.557,17,0,0.018,0.2,0.6,37.5,0.6,1.2,52.1,1.3,2.7,50.0,1.1,2.3,45.5,0.4,1.0,37.5,1.2,3.3,37.2,13.5,74.5,27.0,7.0,5.62,4.82,0.181,0.3,0.2,0.3,0.067,0.333,0.389
180,james bouknight,CHA,22,0.176,0.063,0.172,36.4,0.031,0.096,32.2,0.019,0.028,69.2,0.007,0.063,0.07,0.04,0.028,0.015,0.005,0.039,0.353,0,0,-0.079,0.6,1.2,52.6,0.1,0.6,18.8,0.1,0.4,36.4,0.1,0.2,40.0,0.2,0.8,28.6,0.8,2.3,33.8,4.8,20.3,12.6,1.0,2.95,2.19,0.236,0.1,0.0,0.3,1.0,0.0,0.222
181,evan mobley,CLE,21,0.234,0.096,0.172,55.9,0.004,0.019,21.2,0.038,0.057,67.3,0.034,0.095,0.129,0.041,0.027,0.011,0.022,0.04,0.521,23,0,0.06,4.6,6.1,75.8,1.1,2.7,40.0,0.5,1.4,36.5,0.2,0.5,45.9,0.1,0.7,14.8,0.2,0.7,28.0,16.4,60.0,31.3,1.9,1.93,0.74,0.273,4.4,2.0,8.6,0.624,0.609,0.951
182,tyrese martin,ATL,24,0.161,0.065,0.172,37.5,0.011,0.054,20.0,0.022,0.022,100.0,0.022,0.043,0.065,0.0,0.011,0.011,0.0,0.022,0.26,0,0,0.043,0.3,0.5,50.0,0.1,0.1,100,0.0,0.1,0.0,0.1,0.4,33.3,0.0,0.2,0.0,0.1,0.3,33.3,1.2,4.6,3.1,0.2,2.24,1.32,0.25,0.1,0.0,0.2,2.0,0.0,0.0
183,jordan nwora,IND,24,0.209,0.075,0.172,43.7,0.033,0.081,41.2,0.025,0.032,78.7,0.02,0.07,0.09,0.035,0.026,0.01,0.006,0.028,0.391,0,0,-0.091,1.0,2.0,52.6,0.3,0.7,48.7,0.2,0.5,37.0,0.1,0.4,21.7,0.5,1.4,36.4,0.9,2.0,44.4,8.3,25.8,16.1,1.0,2.27,1.52,0.324,0.4,0.0,0.8,0.636,0.0,0.783
184,gordon hayward,CHA,33,0.216,0.082,0.172,47.5,0.015,0.047,32.5,0.038,0.047,81.1,0.01,0.054,0.063,0.061,0.029,0.012,0.004,0.021,0.403,2,0,-0.032,1.6,2.2,73.0,0.9,1.9,46.4,1.0,2.0,48.5,0.8,1.8,43.5,0.6,1.3,46.2,0.6,2.3,27.4,14.7,49.0,35.4,2.4,2.93,1.94,0.299,1.6,0.5,1.8,0.519,0.333,0.783
185,victor oladipo,MIA,30,0.186,0.066,0.171,38.7,0.027,0.087,30.9,0.027,0.035,77.3,0.007,0.051,0.058,0.062,0.036,0.025,0.005,0.043,0.402,0,0,-0.029,1.2,2.2,53.9,0.3,0.7,42.9,0.3,0.9,36.1,0.3,0.6,43.5,0.5,1.5,31.7,1.0,3.2,30.2,10.0,49.0,20.9,3.6,4.37,3.8,0.204,0.3,0.0,0.5,0.364,0.0,0.737
186,max strus,MIA,27,0.2,0.07,0.171,41.1,0.042,0.121,34.9,0.017,0.02,88.5,0.011,0.045,0.056,0.036,0.015,0.009,0.002,0.036,0.342,2,0,-0.029,1.3,2.0,63.2,0.3,0.6,45.2,0.1,0.2,50.0,0.0,0.1,16.7,1.0,2.5,40.9,1.4,4.5,31.7,11.7,44.6,26.8,1.3,1.7,0.86,0.262,0.4,0.0,1.2,0.906,0.0,1.0
187,will barton,TOR,32,0.175,0.063,0.17,37.0,0.029,0.084,35.0,0.019,0.024,78.7,0.007,0.06,0.066,0.055,0.025,0.012,0.006,0.026,0.367,0,0,-0.092,0.7,1.3,50.0,0.3,0.8,30.2,0.1,0.5,28.0,0.2,0.4,42.9,0.4,1.0,40.4,0.8,2.3,32.5,6.5,29.6,16.0,1.9,3.79,3.15,0.221,0.3,0.0,0.4,0.571,0.0,0.842
188,willy hernangomez,NOP,28,0.263,0.089,0.17,52.7,0.003,0.011,27.3,0.081,0.105,77.9,0.058,0.123,0.181,0.033,0.039,0.017,0.013,0.064,0.581,2,0,0.019,2.1,3.3,63.9,0.2,0.8,23.3,0.1,0.2,50.0,0.0,0.1,0.0,0.0,0.2,16.7,0.1,0.2,33.3,6.9,23.3,14.8,0.6,1.58,0.6,0.295,2.0,1.0,4.1,0.558,0.486,1.013
189,chris boucher,TOR,30,0.225,0.083,0.169,49.1,0.019,0.061,32.0,0.04,0.053,75.5,0.051,0.085,0.136,0.009,0.013,0.015,0.021,0.046,0.498,9,0,-0.007,2.2,3.5,63.1,0.2,0.6,39.5,0.1,0.2,46.7,0.1,0.1,40.0,0.5,1.4,38.2,0.3,1.1,27.5,9.4,23.7,12.5,0.7,1.66,0.57,0.397,0.5,0.1,4.1,0.833,0.0,1.073
190,malachi flynn,TOR,24,0.167,0.059,0.169,34.7,0.034,0.097,34.9,0.016,0.022,72.4,0.011,0.042,0.053,0.049,0.017,0.014,0.003,0.045,0.338,0,0,-0.045,0.4,0.7,48.6,0.1,0.4,21.1,0.1,0.3,42.9,0.1,0.5,14.3,0.3,0.7,43.2,0.6,1.9,33.0,4.5,26.4,12.0,1.8,4.03,3.37,0.172,0.1,0.0,0.2,0.4,0.0,0.444
191,cedi osman,CLE,27,0.211,0.076,0.169,44.9,0.037,0.1,36.6,0.023,0.033,69.0,0.008,0.047,0.055,0.036,0.016,0.011,0.004,0.039,0.359,1,0,0.07,1.4,2.1,67.1,0.1,0.5,25.0,0.1,0.1,60.0,0.0,0.1,0.0,0.6,1.5,38.0,0.9,2.4,36.0,8.8,28.5,19.5,1.1,2.34,1.54,0.307,0.4,0.0,0.8,0.815,0.0,0.86
192,precious achiuwa,TOR,23,0.209,0.08,0.169,47.5,0.011,0.044,24.5,0.038,0.055,68.6,0.043,0.094,0.137,0.022,0.026,0.013,0.013,0.044,0.458,9,0,-0.019,2.4,3.5,69.3,0.4,1.2,30.6,0.2,0.5,30.8,0.0,0.1,20.0,0.2,1.0,21.6,0.2,0.8,27.9,8.8,32.0,19.0,1.1,2.01,1.12,0.276,1.5,0.4,3.6,0.6,0.263,0.883
193,johnny davis,WAS,21,0.165,0.067,0.168,39.6,0.016,0.067,23.7,0.016,0.03,52.9,0.012,0.06,0.072,0.021,0.014,0.005,0.007,0.061,0.306,0,0,-0.058,0.7,1.0,69.6,0.1,0.3,28.6,0.2,0.8,31.3,0.3,0.4,66.7,0.2,0.7,33.3,0.2,1.1,15.4,3.4,12.6,8.6,0.4,2.06,1.39,0.269,0.2,0.0,0.4,0.5,0.0,1.111
194,dewayne dedmon,PHI,33,0.219,0.084,0.168,49.6,0.013,0.046,28.9,0.039,0.056,69.6,0.039,0.109,0.148,0.023,0.027,0.01,0.023,0.082,0.502,0,0,-0.16,1.1,1.7,61.3,0.4,0.8,53.6,0.1,0.3,44.4,0.0,0.0,100,0.1,0.3,36.4,0.2,0.8,25.0,5.0,18.1,9.9,0.5,1.71,0.46,0.277,1.4,0.5,2.7,0.863,0.778,0.867
195,aj green,MIL,23,0.214,0.074,0.168,44.0,0.061,0.141,43.3,0.006,0.006,100.0,0.007,0.049,0.057,0.029,0.013,0.009,0.0,0.043,0.339,0,0,-0.042,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.1,33.3,0.2,0.3,50.0,0.5,1.1,42.9,0.9,2.1,42.6,4.5,12.1,7.4,0.5,2.57,1.79,0.372,0.1,0.0,0.3,0.0,0.0,0.727
196,shaedon sharpe,POR,19,0.206,0.08,0.168,47.5,0.027,0.073,36.8,0.019,0.027,71.6,0.016,0.045,0.062,0.023,0.021,0.01,0.007,0.038,0.343,0,0,-0.067,1.8,2.7,65.1,0.2,0.4,39.4,0.1,0.3,36.8,0.2,0.6,42.9,0.8,2.0,38.4,0.6,1.7,35.8,9.2,24.3,15.6,1.1,2.63,2.01,0.378,0.4,0.0,1.3,0.759,0.0,1.09
197,david duke jr,BKN,23,0.176,0.077,0.168,46.0,0.003,0.021,12.5,0.019,0.029,63.6,0.021,0.035,0.056,0.043,0.04,0.019,0.003,0.072,0.33,0,0,-0.029,1.4,2.5,55.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,50.0,0.0,0.3,0.0,0.1,0.2,33.3,3.3,12.0,6.2,0.7,3.66,3.12,0.275,0.1,0.0,0.5,0.0,0.0,0.889
198,isaiah joe,OKC,23,0.227,0.074,0.167,44.4,0.053,0.13,40.8,0.026,0.032,81.7,0.009,0.048,0.057,0.028,0.012,0.015,0.003,0.034,0.381,0,0,0.075,0.4,0.6,65.0,0.1,0.1,40.0,0.1,0.2,61.5,0.3,0.5,53.1,0.7,1.5,47.2,1.5,4.0,38.7,9.4,24.7,15.4,0.8,2.0,1.32,0.381,0.4,0.0,0.4,0.536,0.0,0.786
199,moritz wagner,ORL,25,0.257,0.085,0.167,50.8,0.021,0.068,31.2,0.066,0.078,84.4,0.03,0.08,0.109,0.036,0.028,0.016,0.005,0.057,0.477,3,0,-0.008,2.4,3.6,67.3,0.2,0.4,42.9,0.0,0.0,0.0,0.1,0.1,60.0,0.2,0.8,23.9,0.7,2.0,34.2,10.7,35.8,22.0,1.0,1.72,0.56,0.3,2.0,0.3,3.5,0.798,1.0,0.984
200,dylan windler,CLE,26,0.278,0.111,0.167,66.7,0.056,0.111,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.056,0.056,0.0,0.0,0.472,0,0,-0.056,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100,0.0,0.3,0.0,1.7,6.3,5.0,0.1,1.13,0.21,0.263,0.0,0.0,0.0,0.0,0.0,0.0
201,jonathan kuminga,GSW,20,0.22,0.087,0.167,52.1,0.017,0.049,35.5,0.029,0.045,64.3,0.023,0.053,0.076,0.041,0.032,0.013,0.01,0.054,0.41,1,0,-0.023,2.4,3.6,67.9,0.4,1.0,37.7,0.2,0.4,44.0,0.1,0.3,47.1,0.4,1.1,38.9,0.3,1.1,31.9,9.8,34.2,19.8,1.4,2.4,1.46,0.287,1.2,1.2,2.3,0.865,0.372,0.847
202,julian champagnie,SAS,21,0.207,0.077,0.166,46.6,0.041,0.107,38.3,0.011,0.014,83.3,0.014,0.066,0.08,0.009,0.016,0.009,0.009,0.043,0.355,0,0,-0.194,0.9,1.5,63.2,0.1,0.1,100,0.0,0.1,0.0,0.2,0.3,50.0,1.0,2.3,44.4,0.6,1.8,33.3,5.4,17.7,9.9,0.4,1.4,0.49,0.307,0.3,0.0,0.9,1.0,0.0,0.636
203,terrence ross,PHX,32,0.189,0.072,0.166,43.3,0.035,0.094,37.7,0.01,0.012,78.1,0.008,0.045,0.053,0.032,0.016,0.013,0.003,0.035,0.332,0,0,-0.023,0.3,0.5,63.0,0.2,0.4,47.8,0.4,1.0,42.4,0.6,1.2,52.9,0.7,1.7,44.9,0.9,2.6,34.6,8.5,21.9,15.0,0.8,2.18,1.37,0.386,0.1,0.0,0.1,0.5,0.0,0.4
204,duncan robinson,MIA,28,0.186,0.061,0.166,36.8,0.045,0.135,33.5,0.019,0.02,92.3,0.006,0.042,0.049,0.031,0.019,0.009,0.0,0.052,0.301,0,0,-0.041,0.3,0.4,75.0,0.1,0.3,30.8,0.1,0.1,50.0,0.1,0.1,40.0,0.5,1.4,34.6,1.0,3.1,32.2,6.1,22.0,15.6,0.6,1.71,0.79,0.277,0.2,0.0,0.4,1.0,0.0,1.133
205,jalen suggs,ORL,21,0.194,0.069,0.166,41.7,0.024,0.074,31.9,0.033,0.046,71.1,0.02,0.038,0.058,0.06,0.036,0.027,0.01,0.047,0.429,0,0,-0.014,1.5,2.8,55.1,0.2,0.6,40.7,0.2,0.5,39.1,0.2,0.6,41.4,0.4,1.1,40.4,0.8,2.7,30.5,9.6,43.8,18.4,2.7,3.69,3.01,0.219,0.3,0.1,1.4,0.692,0.8,0.618
206,javale mcgee,DAL,35,0.242,0.104,0.165,63.0,0.001,0.006,25.0,0.032,0.054,59.0,0.042,0.104,0.146,0.015,0.049,0.006,0.032,0.074,0.503,0,0,-0.09,1.5,2.1,72.3,0.3,0.8,42.9,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,50.0,4.2,11.6,6.4,0.3,1.5,0.47,0.361,1.1,0.4,3.1,0.707,0.571,0.917
207,marjon beauchamp,MIL,22,0.181,0.066,0.165,40.1,0.031,0.096,32.5,0.017,0.025,69.7,0.027,0.05,0.077,0.021,0.03,0.014,0.004,0.047,0.328,0,0,-0.053,0.7,1.3,56.7,0.1,0.2,37.5,0.1,0.2,42.9,0.1,0.2,37.5,0.5,1.6,31.4,0.5,1.3,34.9,5.1,14.2,9.9,0.5,2.21,1.55,0.357,0.2,0.0,0.9,0.636,0.0,0.5
208,aleksej pokusevski,OKC,21,0.182,0.071,0.164,43.4,0.025,0.069,36.5,0.015,0.023,62.9,0.03,0.075,0.105,0.042,0.028,0.013,0.028,0.038,0.468,3,0,-0.129,1.7,2.9,59.2,0.2,0.8,21.4,0.1,0.3,30.0,0.1,0.2,42.9,0.4,1.2,31.7,0.7,1.9,38.5,8.1,41.7,22.7,1.1,1.6,0.75,0.195,1.6,0.0,3.1,0.63,0.0,0.71
209,dario saric,OKC,28,0.213,0.075,0.164,45.8,0.026,0.068,38.5,0.037,0.044,84.3,0.031,0.089,0.12,0.045,0.034,0.011,0.003,0.06,0.434,1,0,0.011,1.1,1.6,69.4,0.2,0.7,30.8,0.1,0.3,37.5,0.0,0.2,9.1,0.3,0.8,37.2,0.5,1.3,38.6,6.2,23.2,13.8,0.7,1.74,0.86,0.267,1.0,0.6,1.9,0.577,0.667,0.848
210,rudy gay,UTA,36,0.167,0.062,0.164,37.8,0.019,0.075,25.2,0.024,0.028,85.7,0.019,0.074,0.093,0.032,0.021,0.011,0.01,0.039,0.369,0,0,0.032,0.4,0.7,61.0,0.3,0.7,44.7,0.3,0.7,39.0,0.3,0.5,61.5,0.3,1.4,24.1,0.3,1.1,26.2,5.2,23.6,11.5,0.8,2.16,0.9,0.222,0.7,0.8,0.9,0.541,0.553,0.731
211,caris levert,CLE,28,0.196,0.07,0.164,42.7,0.027,0.071,38.5,0.029,0.04,72.2,0.012,0.051,0.063,0.064,0.026,0.016,0.005,0.037,0.404,1,0,0.042,1.8,3.0,59.6,0.4,1.3,33.0,0.3,1.1,31.2,0.1,0.3,23.8,0.6,1.5,40.7,1.0,2.8,36.8,12.0,47.3,27.8,2.8,3.59,3.01,0.254,0.6,0.1,1.0,0.5,0.0,0.507
