, ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_PER_POSS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
249,250,John Collins,ATL,25,68,35,33,0.5,0.201,0.079,0.155,50.6,0.015,0.052,28.2,0.03,0.038,79.3,0.017,0.084,0.102,0.019,0.018,0.01,0.016,0.048,0.411,11,0,-0.007
250,251,Jakob Poeltl,TOR,27,68,24,44,0.5,0.227,0.098,0.155,63.3,0,0,0,0.031,0.052,59.9,0.059,0.105,0.164,0.05,0.032,0.017,0.023,0.049,0.584,19,0,-0.04
251,252,Andre Drummond,CHI,29,64,31,33,0.5,0.225,0.094,0.155,60.9,0,0.002,0,0.036,0.067,53.9,0.077,0.172,0.249,0.019,0.043,0.026,0.015,0.067,0.63,8,0,0.023
252,253,Keegan Murray,SAC,22,76,46,30,0.5,0.193,0.07,0.154,45.2,0.041,0.099,41,0.013,0.017,76.3,0.018,0.055,0.073,0.019,0.012,0.013,0.008,0.032,0.359,4,0,0.028
253,254,Aaron Nesmith,IND,23,69,29,40,0.5,0.189,0.065,0.154,42.3,0.029,0.083,35.7,0.029,0.035,84.9,0.016,0.055,0.072,0.026,0.02,0.015,0.009,0.062,0.363,1,0,-0.042
254,255,Trey Murphy III,NOP,22,75,37,38,0.5,0.219,0.074,0.154,48.2,0.039,0.096,40.7,0.031,0.034,90.9,0.012,0.044,0.056,0.022,0.013,0.017,0.009,0.03,0.384,1,0,0.006
255,256,Quenton Jackson,WAS,24,5,2,3,0.5,0.169,0.062,0.154,40,0.015,0.077,20,0.031,0.031,100,0.015,0.015,0.031,0.031,0,0.015,0.015,0.046,0.345,0,0,0.138
256,257,Kevin Knox II,POR,23,59,12,47,0.5,0.191,0.071,0.154,46,0.03,0.089,34,0.019,0.025,77.3,0.017,0.07,0.087,0.016,0.023,0.012,0.007,0.051,0.352,1,0,-0.097
257,258,Moses Brown,BKN,23,36,17,19,0.5,0.248,0.097,0.153,63.5,0,0,0,0.053,0.115,45.8,0.091,0.131,0.222,0.006,0.024,0.006,0.022,0.062,0.586,3,0,0.043
258,259,Svi Mykhailiuk,CHA,25,29,15,14,0.5,0.209,0.071,0.153,46.7,0.041,0.085,47.8,0.026,0.04,64.5,0.011,0.034,0.046,0.045,0.018,0.014,0.005,0.02,0.371,0,0,0.009
259,260,Ish Smith,DEN,34,40,24,16,0.5,0.127,0.061,0.153,40.2,0.003,0.011,25,0.001,0.003,50,0.005,0.06,0.066,0.116,0.055,0.008,0.01,0.041,0.379,0,0,-0.052
260,261,Dennis Schroder,LAL,29,64,36,28,0.5,0.198,0.064,0.153,41.8,0.018,0.053,33.3,0.052,0.06,86.6,0.004,0.035,0.039,0.071,0.027,0.012,0.002,0.034,0.366,2,0,0.033
261,262,Gorgui Dieng,SAS,33,28,2,26,0.5,0.154,0.058,0.153,37.9,0.029,0.101,28.6,0.01,0.013,75,0.039,0.098,0.137,0.069,0.043,0.006,0.018,0.074,0.451,1,0,-0.198
262,263,Dennis Smith Jr.,CHA,25,54,19,35,0.5,0.16,0.063,0.153,41.2,0.008,0.038,21.6,0.026,0.036,73.6,0.009,0.047,0.056,0.088,0.028,0.025,0.008,0.041,0.434,1,0,-0.024
263,264,Lindy Waters III,OKC,25,39,18,21,0.5,0.182,0.059,0.152,38.8,0.05,0.139,35.8,0.015,0.018,80,0.012,0.053,0.065,0.025,0.009,0.012,0.009,0.037,0.352,0,0,0.104
264,265,Mo Bamba,LAL,24,47,23,24,0.5,0.205,0.074,0.152,48.7,0.031,0.078,39,0.026,0.04,66.1,0.036,0.105,0.141,0.029,0.019,0.008,0.027,0.066,0.504,2,0,0.006
265,266,Trey Lyles,SAC,27,70,42,28,0.5,0.214,0.07,0.152,46.5,0.033,0.088,36.9,0.04,0.049,81.5,0.025,0.087,0.112,0.025,0.025,0.011,0.012,0.036,0.43,1,0,0.043
266,267,Ricky Rubio,CLE,32,29,20,9,0.5,0.155,0.055,0.151,36.6,0.019,0.072,26,0.026,0.033,78.8,0.007,0.053,0.06,0.095,0.027,0.024,0.005,0.045,0.429,0,0,0.037
267,268,Isaiah Roby,SAS,25,42,9,33,0.5,0.168,0.065,0.151,43.2,0.018,0.059,30,0.02,0.04,48.8,0.02,0.085,0.105,0.037,0.03,0.018,0.007,0.052,0.393,0,0,-0.107
268,269,Blake Wesley,SAS,20,33,7,26,0.5,0.13,0.048,0.151,31.5,0.013,0.038,34.8,0.021,0.034,61.9,0.009,0.045,0.054,0.068,0.046,0.017,0.003,0.05,0.313,0,0,-0.149
269,270,Devonte' Graham,SAS,28,72,31,41,0.5,0.189,0.056,0.151,37.4,0.042,0.119,35.1,0.035,0.046,75.2,0.007,0.036,0.043,0.069,0.018,0.015,0.006,0.027,0.39,0,0,-0.052
270,271,Naji Marshall,NOP,25,73,38,35,0.5,0.185,0.065,0.151,43.5,0.018,0.058,30.4,0.036,0.046,78.8,0.013,0.061,0.074,0.05,0.025,0.014,0.004,0.029,0.377,0,0,0.011
271,272,Jalen McDaniels,PHI,25,75,28,47,0.5,0.184,0.068,0.15,45.5,0.019,0.057,32.3,0.029,0.034,83.3,0.015,0.07,0.085,0.032,0.024,0.019,0.008,0.053,0.394,2,0,-0.035
272,273,Nassir Little,POR,23,54,22,32,0.5,0.178,0.066,0.15,44.2,0.029,0.078,36.7,0.016,0.023,71.7,0.013,0.056,0.07,0.025,0.018,0.01,0.01,0.033,0.34,0,0,-0.094
273,274,Davis Bertans,DAL,30,43,20,23,0.5,0.189,0.063,0.15,42.1,0.051,0.133,38.7,0.011,0.013,83.3,0.009,0.039,0.047,0.021,0.011,0.011,0.006,0.055,0.318,0,0,-0.045
274,275,De'Anthony Melton,PHI,24,74,49,25,0.5,0.182,0.065,0.15,43.2,0.036,0.092,39.6,0.016,0.02,79.3,0.016,0.056,0.072,0.046,0.024,0.029,0.009,0.044,0.43,0,0,0.032
275,276,Jack White,DEN,25,16,12,4,0.5,0.178,0.065,0.15,43.8,0.028,0.075,37.5,0.019,0.028,66.7,0.028,0.056,0.084,0.028,0.009,0.019,0.019,0.075,0.423,0,0,-0.28
276,277,Cam Reddish,POR,23,40,14,26,0.5,0.185,0.067,0.149,44.6,0.022,0.069,31.3,0.031,0.036,85.3,0.009,0.034,0.042,0.027,0.023,0.019,0.007,0.034,0.331,0,0,-0.092
277,278,Shake Milton,PHI,26,72,50,22,0.5,0.192,0.072,0.149,48.1,0.018,0.045,39.1,0.03,0.035,85.3,0.012,0.047,0.059,0.067,0.028,0.007,0.004,0.037,0.369,1,0,0.04
